ma_phieu,loai_doi_tuong,truong_dai_hoc,khoa_nganh,gioi_tinh,do_tuoi,hoc_vi_hoc_ham,nam_hoc_hoac_nam_giang_day,hieu_biet_phan_mem_phan_tich_1_5,phan_mem_dang_su_dung,tan_suat_su_dung_1_5,muc_do_hai_long_phan_mem_hien_tai_1_5,kho_khan_chinh_khi_su_dung,nhu_cau_phan_tich_noi_dung_van_ban_1_5,nhu_cau_kiem_tra_fact_tu_nguon_khoa_hoc_1_5,nhu_cau_phan_tich_bao_cao_hoc_thuat_1_5,nhu_cau_truc_quan_hoa_du_lieu_1_5,nhu_cau_xuat_bao_cao_tu_dong_1_5,san_sang_su_dung_cong_cu_mien_phi,muc_phi_chap_nhan_usd_thang,danh_gia_tam_quan_trong_ai_trong_giao_duc_1_5,kha_nang_tich_hop_vao_giang_day_1_5,kien_nghi_them,thoi_gian_hoan_thanh_phut
SV0083,Sinh vien,DH Can Tho,Y khoa,Nam,18,Dai hoc,2,1,SPSS,1,4,Chi phi ban quyen cao,5,5,5,4,4,Co,0,3,2,Co ban bao cao tu dong,22
SV0045,Sinh vien,DH Kinh te TP.HCM,Y khoa,Nam,18,Dai hoc,4,1,Khac,2,2,Khong co tai lieu tieng Viet,2,5,1,3,5,Khong,0,5,3,Ho tro nhieu dinh dang file,19
SV0205,Sinh vien,DH Hue,Tai chinh - Ngan hang,Nu,20,Dai hoc,1,4,SPSS,4,3,Chi phi ban quyen cao,3,5,4,5,1,Co,0,5,4,Ho tro nhieu dinh dang file,12
SV0133,Sinh vien,DH Hue,Marketing,Nu,22,Dai hoc,4,3,Python,3,2,Chi phi ban quyen cao,3,4,5,4,5,Co the,5,3,3,Co ban bao cao tu dong,21
SV0192,Sinh vien,DH Ngoai thuong,Cong nghe thong tin,Nam,23,Dai hoc,3,3,SPSS,3,1,Thieu tinh nang can thiet,5,5,3,4,4,Co,0,3,4,Co ban bao cao tu dong,14
GV0016,Giang vien,DH Quoc gia HN,Y khoa,Nu,49,PGS.TS,20,4,SPSS,5,3,Giao dien phuc tap,3,5,4,4,3,Co,0,5,5,Co ban bao cao tu dong,20
SV0137,Sinh vien,DH Hue,Quan tri kinh doanh,Nam,23,Dai hoc,1,5,Excel,3,4,Khong duoc dao tao su dung,3,5,5,4,3,Co,5,3,5,Tich hop AI de goi y phan tich,22
SV0161,Sinh vien,DH Ngoai thuong,Luat,Nu,21,Dai hoc,5,4,Python,3,2,Thieu tinh nang can thiet,5,5,3,4,5,Co,10,3,5,Co huong dan su dung chi tiet,18
GV0018,Giang vien,DH Kinh te Quoc dan,Ke toan - Kiem toan,Nam,32,ThS,1,3,Excel,3,3,Khong co kho khan gi,5,4,5,5,2,Co the,0,4,3,Tich hop AI de goi y phan tich,24
SV0014,Sinh vien,DH Ngoai thuong,Ke toan - Kiem toan,Nam,18,Dai hoc,5,3,Excel,3,5,Giao dien phuc tap,4,3,3,3,4,Co,15,5,1,Ho tro nhieu dinh dang file,17
SV0094,Sinh vien,DH Ton Duc Thang,Luat,Nam,22,Dai hoc,2,3,Excel,4,2,Khong co kho khan gi,3,4,4,3,4,Co,5,3,3,Ho tro nhieu dinh dang file,22
SV0132,Sinh vien,DH Hoa Sen,Cong nghe thong tin,Nam,18,Dai hoc,3,3,SPSS,2,3,Khong co kho khan gi,4,4,4,5,4,Co,0,5,3,Tich hop AI de goi y phan tich,11
GV0066,Giang vien,DH Ton Duc Thang,Tai chinh - Ngan hang,Nam,41,ThS,10,4,Excel,2,2,Thieu tinh nang can thiet,3,3,5,4,5,Co the,10,4,3,Co ban bao cao tu dong,19
SV0200,Sinh vien,DH Hoa Sen,Tai chinh - Ngan hang,Nu,23,Dai hoc,4,4,SPSS,4,3,Khong co kho khan gi,4,4,4,4,3,Co the,0,3,2,Co giao dien tieng Viet,20
SV0021,Sinh vien,DH Thuong mai,Ky thuat,Nu,21,Dai hoc,3,1,R,2,3,Chi phi ban quyen cao,4,3,3,4,4,Co,0,4,5,Co ban bao cao tu dong,19
GV0071,Giang vien,DH Kinh te Quoc dan,Giao duc hoc,Nu,55,TS,22,5,AMOS,4,2,Khong co tai lieu tieng Viet,4,2,4,5,5,Co the,10,5,3,Co giao dien tieng Viet,20
SV0139,Sinh vien,DH Su pham HN,Ke toan - Kiem toan,Nu,23,Dai hoc,3,4,SPSS,2,3,Khong co kho khan gi,5,3,2,2,3,Co,5,4,3,Co giao dien tieng Viet,19
GV0028,Giang vien,DH Su pham HN,Tai chinh - Ngan hang,Nam,42,ThS,10,2,AMOS,1,5,Giao dien phuc tap,5,1,5,4,3,Co the,10,5,2,Co giao dien tieng Viet,26
SV0206,Sinh vien,DH Thuong mai,Marketing,Nu,18,Dai hoc,3,3,Excel,1,1,Khong duoc dao tao su dung,3,4,2,3,5,Co the,0,5,5,Co huong dan su dung chi tiet,10
SV0171,Sinh vien,DH Can Tho,Xa hoi hoc,Nu,23,Dai hoc,3,3,Khong su dung,2,3,Khong co kho khan gi,2,3,5,4,4,Co,0,2,4,Co giao dien tieng Viet,12
SV0190,Sinh vien,DH Hue,Quan tri kinh doanh,Nam,24,Dai hoc,1,3,SPSS,5,1,Giao dien phuc tap,4,3,5,2,4,Co,0,4,3,Mien phi cho sinh vien,19
SV0186,Sinh vien,DH Ton Duc Thang,Ky thuat,Nu,21,Dai hoc,3,1,Khong su dung,4,4,Thieu tinh nang can thiet,5,3,5,2,5,Co,10,4,2,Tich hop AI de goi y phan tich,22
GV0026,Giang vien,DH Hoa Sen,Ky thuat,Nu,39,TS,7,4,Khac,3,3,Khong co kho khan gi,2,4,4,4,4,Khong,0,3,3,Tich hop AI de goi y phan tich,17
SV0099,Sinh vien,DH Ton Duc Thang,Y khoa,Nu,21,Dai hoc,2,4,SPSS,4,5,Khong co tai lieu tieng Viet,5,3,5,5,3,Co,0,4,5,Tich hop AI de goi y phan tich,12
SV0019,Sinh vien,DH Quoc gia HN,Khoa hoc may tinh,Nu,19,Dai hoc,3,4,SPSS,4,4,Giao dien phuc tap,3,5,3,5,5,Co,5,4,3,Co giao dien tieng Viet,20
SV0001,Sinh vien,DH Bach khoa HN,Ngu van,Nu,18,Dai hoc,1,3,SPSS,1,2,Khong co kho khan gi,5,2,4,1,3,Co,0,3,4,Ho tro nhieu dinh dang file,14
SV0158,Sinh vien,DH Su pham HN,Ky thuat,Nam,18,Dai hoc,5,3,Excel,3,2,Giao dien phuc tap,5,5,5,4,3,Co,0,4,1,Mien phi cho sinh vien,8
SV0095,Sinh vien,DH Bach khoa HN,Cong nghe thong tin,Nu,22,Dai hoc,2,2,Excel,3,3,Thieu tinh nang can thiet,5,4,4,4,4,Co the,5,5,3,Mien phi cho sinh vien,11
SV0048,Sinh vien,DH Ton Duc Thang,Ke toan - Kiem toan,Nam,20,Dai hoc,4,3,Khong su dung,3,2,Khong duoc dao tao su dung,3,3,3,4,4,Co,0,5,2,Mien phi cho sinh vien,21
SV0104,Sinh vien,DH Ngoai thuong,Quan tri kinh doanh,Nu,23,Dai hoc,2,3,SPSS,3,4,Khong co tai lieu tieng Viet,2,3,4,4,4,Co,0,3,1,Co huong dan su dung chi tiet,17
SV0036,Sinh vien,DH Ton Duc Thang,Ngu van,Nu,18,Dai hoc,4,4,Excel,1,3,Chi phi ban quyen cao,3,5,5,2,3,Co,5,4,4,Ho tro nhieu dinh dang file,14
SV0210,Sinh vien,DH Ngoai thuong,Giao duc hoc,Nu,22,Dai hoc,5,3,Excel,4,3,Khong duoc dao tao su dung,5,4,4,3,4,Co the,5,5,2,Ho tro nhieu dinh dang file,16
GV0052,Giang vien,DH Ton Duc Thang,Xa hoi hoc,Nam,58,TS,28,3,SPSS,3,3,Giao dien phuc tap,4,5,4,4,3,Co,0,3,2,Ho tro nhieu dinh dang file,12
SV0007,Sinh vien,DH Su pham HN,Cong nghe thong tin,Nam,24,Dai hoc,5,2,Khong su dung,4,2,Khong co kho khan gi,4,3,4,3,5,Co the,15,4,3,Co giao dien tieng Viet,22
SV0150,Sinh vien,DH Thuong mai,Y khoa,Nu,19,Dai hoc,1,3,SPSS,3,1,Giao dien phuc tap,4,2,5,5,4,Co the,0,5,2,Co giao dien tieng Viet,16
SV0196,Sinh vien,DH Kinh te Quoc dan,Giao duc hoc,Nam,22,Dai hoc,2,3,Excel,3,4,Khong duoc dao tao su dung,4,4,4,4,5,Co the,0,5,4,Ho tro nhieu dinh dang file,9
GV0015,Giang vien,DH Kinh te Quoc dan,Giao duc hoc,Nu,60,TS,30,3,SPSS,3,3,Giao dien phuc tap,3,1,5,5,4,Co,0,5,5,Mien phi cho sinh vien,21
SV0042,Sinh vien,DH Can Tho,Cong nghe thong tin,Nu,21,Dai hoc,3,4,Excel,1,3,Giao dien phuc tap,4,3,1,4,3,Co the,0,5,4,Co huong dan su dung chi tiet,15
SV0079,Sinh vien,DH Ton Duc Thang,Khoa hoc may tinh,Nu,21,Dai hoc,5,2,Python,1,3,Chi phi ban quyen cao,5,3,2,4,5,Co the,10,4,5,Mien phi cho sinh vien,19
SV0184,Sinh vien,DH Kinh te TP.HCM,Cong nghe thong tin,Nam,23,Dai hoc,1,3,Excel,3,3,Chi phi ban quyen cao,4,4,3,5,4,Co,10,5,5,Tich hop AI de goi y phan tich,19
SV0005,Sinh vien,DH Ngoai thuong,Tai chinh - Ngan hang,Nam,21,Dai hoc,4,4,Excel,1,2,Khong co kho khan gi,4,3,4,5,4,Co,20,4,2,Co giao dien tieng Viet,21
SV0024,Sinh vien,DH Can Tho,Xa hoi hoc,Nu,24,Dai hoc,1,3,SPSS,5,3,Chi phi ban quyen cao,4,5,2,3,4,Co,5,4,4,Mien phi cho sinh vien,17
SV0166,Sinh vien,DH Hoa Sen,Giao duc hoc,Nu,21,Dai hoc,2,1,Excel,2,4,Khong duoc dao tao su dung,2,4,4,2,3,Co,20,4,4,Mien phi cho sinh vien,21
SV0183,Sinh vien,DH Kinh te Quoc dan,Cong nghe thong tin,Nu,23,Dai hoc,4,2,Excel,1,5,Khong co kho khan gi,2,5,1,3,4,Co,0,5,2,Co ban bao cao tu dong,18
GV0060,Giang vien,DH Thuong mai,Cong nghe thong tin,Nam,47,ThS,15,4,R,2,5,Thieu tinh nang can thiet,4,5,4,5,4,Khong,5,3,1,Ho tro nhieu dinh dang file,24
GV0043,Giang vien,DH Ngoai thuong,Ke toan - Kiem toan,Nu,38,GS.TS,6,4,SPSS,3,3,Giao dien phuc tap,4,5,5,5,2,Co,10,5,2,Co ban bao cao tu dong,15
SV0034,Sinh vien,DH Quoc gia HN,Ke toan - Kiem toan,Nam,23,Dai hoc,4,3,Excel,3,3,Giao dien phuc tap,2,3,2,4,5,Co,0,4,4,Ho tro nhieu dinh dang file,17
SV0213,Sinh vien,DH Thuong mai,Marketing,Nam,23,Dai hoc,4,2,Excel,4,1,Thieu tinh nang can thiet,3,5,4,4,5,Co,5,4,3,Co huong dan su dung chi tiet,15
SV0105,Sinh vien,DH Ngoai thuong,Y khoa,Nam,23,Dai hoc,3,1,Khac,5,1,Khong co tai lieu tieng Viet,1,3,5,5,5,Co,5,5,3,Mien phi cho sinh vien,14
SV0208,Sinh vien,DH Hue,Luat,Nu,20,Dai hoc,2,3,Excel,3,4,Giao dien phuc tap,4,3,3,4,1,Co,0,5,3,Tich hop AI de goi y phan tich,10
SV0143,Sinh vien,DH Hoa Sen,Giao duc hoc,Nu,21,Dai hoc,2,4,Excel,2,4,Khong co tai lieu tieng Viet,5,4,1,2,3,Co,0,5,3,Co ban bao cao tu dong,19
SV0022,Sinh vien,DH Hue,Ky thuat,Nu,22,Dai hoc,4,4,Excel,2,4,Khong duoc dao tao su dung,4,4,4,3,4,Co the,10,3,2,Ho tro nhieu dinh dang file,18
SV0062,Sinh vien,DH Hoa Sen,Ke toan - Kiem toan,Nu,19,Dai hoc,3,2,R,4,3,Chi phi ban quyen cao,5,2,5,2,2,Co,5,4,3,Co huong dan su dung chi tiet,20
SV0127,Sinh vien,DH Su pham HN,Ngu van,Nam,21,Dai hoc,3,3,R,3,2,Chi phi ban quyen cao,4,3,5,2,5,Co the,0,4,4,Ho tro nhieu dinh dang file,15
SV0116,Sinh vien,DH Kinh te Quoc dan,Luat,Nam,24,Dai hoc,3,2,Excel,2,3,Khong co kho khan gi,3,4,5,4,5,Co the,0,4,4,Co giao dien tieng Viet,18
SV0026,Sinh vien,DH Quoc gia HN,Giao duc hoc,Nu,23,Dai hoc,4,2,SPSS,2,3,Khong co tai lieu tieng Viet,4,3,4,5,4,Co the,10,5,3,Co giao dien tieng Viet,13
SV0179,Sinh vien,DH Ngoai thuong,Ngu van,Nu,19,Dai hoc,4,3,Khong su dung,2,2,Chi phi ban quyen cao,5,2,5,4,5,Co the,20,3,5,Co huong dan su dung chi tiet,20
SV0123,Sinh vien,DH Bach khoa HN,Khoa hoc may tinh,Nu,21,Dai hoc,3,2,Khong su dung,4,5,Giao dien phuc tap,3,4,4,4,3,Co,0,5,4,Ho tro nhieu dinh dang file,20
SV0101,Sinh vien,DH Hue,Ke toan - Kiem toan,Nu,21,Dai hoc,1,3,SPSS,1,3,Giao dien phuc tap,1,3,4,3,3,Co,5,3,3,Co huong dan su dung chi tiet,8
SV0136,Sinh vien,DH Ton Duc Thang,Khoa hoc may tinh,Nam,23,Dai hoc,2,2,SPSS,4,3,Giao dien phuc tap,4,3,4,4,4,Co the,0,4,3,Tich hop AI de goi y phan tich,15
SV0109,Sinh vien,DH Kinh te TP.HCM,Giao duc hoc,Nam,20,Dai hoc,1,4,R,4,3,Khong co tai lieu tieng Viet,4,3,3,4,3,Co,10,3,3,Co giao dien tieng Viet,16
GV0024,Giang vien,DH Kinh te Quoc dan,Marketing,Nu,32,TS,4,2,Excel,2,5,Giao dien phuc tap,2,3,2,4,4,Co,10,4,1,Co huong dan su dung chi tiet,14
SV0130,Sinh vien,DH Thuong mai,Khoa hoc may tinh,Nam,20,Dai hoc,1,3,Excel,5,3,Khong co tai lieu tieng Viet,4,4,3,5,4,Co the,10,3,4,Co giao dien tieng Viet,18
SV0188,Sinh vien,DH Hue,Xa hoi hoc,Nam,23,Dai hoc,5,3,Excel,4,3,Khong co kho khan gi,5,4,5,4,4,Co the,5,2,4,Co giao dien tieng Viet,19
GV0061,Giang vien,DH Bach khoa HN,Xa hoi hoc,Nu,44,GS.TS,12,1,SmartPLS,5,2,Thieu tinh nang can thiet,5,3,5,4,4,Co,5,4,4,Mien phi cho sinh vien,16
SV0011,Sinh vien,DH Kinh te Quoc dan,Ke toan - Kiem toan,Nam,23,Dai hoc,4,2,Khong su dung,2,2,Khong co tai lieu tieng Viet,2,3,4,5,2,Co the,10,2,4,Ho tro nhieu dinh dang file,21
SV0012,Sinh vien,DH Bach khoa HN,Cong nghe thong tin,Nam,21,Dai hoc,2,3,SPSS,2,1,Khong co tai lieu tieng Viet,1,3,5,5,3,Co the,10,5,4,Mien phi cho sinh vien,10
SV0107,Sinh vien,DH Kinh te Quoc dan,Tai chinh - Ngan hang,Nu,24,Dai hoc,1,3,Excel,5,4,Giao dien phuc tap,3,2,1,4,4,Co,10,4,3,Co huong dan su dung chi tiet,20
SV0002,Sinh vien,DH Quoc gia HN,Y khoa,Nu,24,Dai hoc,1,4,R,2,2,Thieu tinh nang can thiet,2,3,4,4,3,Co,5,3,5,Co giao dien tieng Viet,16
SV0147,Sinh vien,DH Can Tho,Khoa hoc may tinh,Nu,23,Dai hoc,2,3,SPSS,4,2,Khong co tai lieu tieng Viet,3,5,3,5,1,Co the,10,4,2,Co huong dan su dung chi tiet,14
SV0039,Sinh vien,DH Hue,Cong nghe thong tin,Nam,21,Dai hoc,1,3,R,5,3,Khong co tai lieu tieng Viet,4,4,5,5,4,Co,0,4,5,Ho tro nhieu dinh dang file,8
GV0049,Giang vien,DH Quoc gia HN,Xa hoi hoc,Nu,53,GS.TS,23,1,SPSS,4,2,Giao dien phuc tap,5,5,4,4,4,Co the,0,3,3,Co giao dien tieng Viet,21
GV0010,Giang vien,DH Kinh te TP.HCM,Ke toan - Kiem toan,Nu,57,ThS,26,4,SmartPLS,3,4,Chi phi ban quyen cao,3,3,5,3,5,Co,5,4,5,Tich hop AI de goi y phan tich,12
SV0149,Sinh vien,DH Hue,Giao duc hoc,Nu,20,Dai hoc,4,3,Excel,4,2,Khong duoc dao tao su dung,5,3,1,4,3,Co,10,5,5,Co giao dien tieng Viet,20
SV0112,Sinh vien,DH Can Tho,Giao duc hoc,Nu,20,Dai hoc,3,2,Khong su dung,3,4,Khong co kho khan gi,4,5,5,4,4,Co,0,3,3,Ho tro nhieu dinh dang file,17
SV0084,Sinh vien,DH Hoa Sen,Giao duc hoc,Nu,22,Dai hoc,3,2,Khac,4,2,Khong co tai lieu tieng Viet,1,4,4,5,4,Co,0,3,5,Co ban bao cao tu dong,15
GV0041,Giang vien,DH Hoa Sen,Xa hoi hoc,Nu,58,TS,29,4,SmartPLS,4,4,Khong co tai lieu tieng Viet,4,5,4,4,5,Co the,10,4,5,Co giao dien tieng Viet,19
SV0064,Sinh vien,DH Kinh te TP.HCM,Quan tri kinh doanh,Nu,22,Dai hoc,4,3,Excel,4,4,Chi phi ban quyen cao,3,4,4,4,2,Co,5,4,4,Tich hop AI de goi y phan tich,9
SV0189,Sinh vien,DH Ton Duc Thang,Ngu van,Nam,22,Dai hoc,3,3,R,1,4,Giao dien phuc tap,4,4,4,3,5,Co the,5,1,5,Ho tro nhieu dinh dang file,21
SV0110,Sinh vien,DH Hoa Sen,Marketing,Nu,19,Dai hoc,4,2,Excel,1,3,Thieu tinh nang can thiet,2,4,3,3,4,Co,10,3,4,Co ban bao cao tu dong,18
GV0079,Giang vien,DH Hue,Cong nghe thong tin,Nu,30,PGS.TS,1,4,SmartPLS,3,4,Khong co tai lieu tieng Viet,5,3,4,4,4,Khong,10,2,3,Mien phi cho sinh vien,14
SV0004,Sinh vien,DH Can Tho,Khoa hoc may tinh,Nam,23,Dai hoc,5,2,Excel,2,5,Khong co kho khan gi,4,4,5,5,3,Co,0,3,2,Ho tro nhieu dinh dang file,22
GV0020,Giang vien,DH Thuong mai,Ngu van,Nam,40,PGS.TS,12,3,SPSS,4,3,Giao dien phuc tap,5,4,4,3,5,Co the,10,5,2,Co giao dien tieng Viet,19
SV0119,Sinh vien,DH Kinh te TP.HCM,Tai chinh - Ngan hang,Nu,23,Dai hoc,5,5,SPSS,2,4,Thieu tinh nang can thiet,4,4,4,5,3,Co,10,4,2,Ho tro nhieu dinh dang file,14
GV0050,Giang vien,DH Ton Duc Thang,Giao duc hoc,Nam,53,ThS,25,3,R,3,5,Giao dien phuc tap,3,5,5,4,4,Co,0,3,4,Ho tro nhieu dinh dang file,22
SV0152,Sinh vien,DH Ngoai thuong,Luat,Nam,21,Dai hoc,4,2,SPSS,2,4,Khong co tai lieu tieng Viet,3,3,2,3,4,Co the,5,2,5,Tich hop AI de goi y phan tich,10
SV0056,Sinh vien,DH Hoa Sen,Marketing,Nam,23,Dai hoc,1,4,SPSS,2,4,Khong duoc dao tao su dung,3,3,2,5,4,Co the,5,5,4,Co giao dien tieng Viet,15
SV0126,Sinh vien,DH Da Nang,Marketing,Nu,23,Dai hoc,2,3,SPSS,3,3,Khong co kho khan gi,4,3,5,5,4,Co,0,4,4,Ho tro nhieu dinh dang file,19
SV0134,Sinh vien,DH Bach khoa HN,Quan tri kinh doanh,Nu,21,Dai hoc,1,2,Khong su dung,1,4,Chi phi ban quyen cao,5,3,5,4,3,Co the,5,3,2,Co huong dan su dung chi tiet,21
SV0106,Sinh vien,DH Bach khoa HN,Luat,Nam,18,Dai hoc,3,2,Excel,3,4,Giao dien phuc tap,5,4,5,4,4,Co,0,3,3,Co huong dan su dung chi tiet,12
GV0072,Giang vien,DH Ngoai thuong,Ke toan - Kiem toan,Nu,39,ThS,11,4,SPSS,1,5,Giao dien phuc tap,4,3,4,3,5,Co,10,5,4,Co giao dien tieng Viet,13
SV0059,Sinh vien,DH Su pham HN,Y khoa,Nu,23,Dai hoc,3,2,Khac,3,3,Chi phi ban quyen cao,5,2,2,5,5,Co,5,4,3,Co giao dien tieng Viet,14
SV0142,Sinh vien,DH Kinh te Quoc dan,Khoa hoc may tinh,Nu,24,Dai hoc,1,4,Khong su dung,2,3,Giao dien phuc tap,4,3,2,5,5,Co,0,4,4,Ho tro nhieu dinh dang file,22
SV0148,Sinh vien,DH Da Nang,Cong nghe thong tin,Nam,22,Dai hoc,1,2,Excel,4,2,Khong duoc dao tao su dung,5,5,2,4,3,Co the,0,4,1,Co huong dan su dung chi tiet,12
GV0038,Giang vien,DH Kinh te TP.HCM,Giao duc hoc,Nu,57,ThS,28,4,Python,2,5,Giao dien phuc tap,4,4,3,2,4,Co the,0,5,2,Co giao dien tieng Viet,22
SV0157,Sinh vien,DH Can Tho,Luat,Nu,18,Dai hoc,2,2,SPSS,3,4,Khong co kho khan gi,2,5,3,5,5,Co,10,5,2,Ho tro nhieu dinh dang file,13
SV0164,Sinh vien,DH Kinh te Quoc dan,Giao duc hoc,Nam,21,Dai hoc,5,2,SPSS,2,2,Khong co kho khan gi,4,5,4,4,3,Co,0,4,3,Co giao dien tieng Viet,13
SV0204,Sinh vien,DH Ngoai thuong,Luat,Nam,18,Dai hoc,3,1,SPSS,4,3,Khong duoc dao tao su dung,5,5,4,4,4,Co,0,3,1,Co ban bao cao tu dong,17
SV0203,Sinh vien,DH Thuong mai,Quan tri kinh doanh,Nu,24,Dai hoc,2,3,SPSS,1,4,Giao dien phuc tap,5,3,2,4,4,Khong,10,4,5,Co ban bao cao tu dong,18
SV0041,Sinh vien,DH Quoc gia HN,Xa hoi hoc,Nam,18,Dai hoc,4,2,Excel,5,3,Khong duoc dao tao su dung,5,1,5,4,2,Co,5,4,3,Co giao dien tieng Viet,11
SV0155,Sinh vien,DH Kinh te TP.HCM,Marketing,Nam,21,Dai hoc,1,3,SPSS,2,2,Thieu tinh nang can thiet,4,2,4,4,4,Co,10,4,2,Mien phi cho sinh vien,10
SV0076,Sinh vien,DH Ngoai thuong,Xa hoi hoc,Nu,21,Dai hoc,2,3,Excel,1,4,Khong co tai lieu tieng Viet,4,1,4,3,3,Co,5,3,3,Co ban bao cao tu dong,18
GV0007,Giang vien,DH Kinh te TP.HCM,Y khoa,Nam,44,ThS,12,5,AMOS,3,3,Giao dien phuc tap,5,5,3,3,4,Co,15,4,4,Ho tro nhieu dinh dang file,23
GV0054,Giang vien,DH Ngoai thuong,Marketing,Nu,36,PGS.TS,4,4,SPSS,4,4,Giao dien phuc tap,4,3,3,4,4,Co,0,4,1,Ho tro nhieu dinh dang file,28
SV0088,Sinh vien,DH Ton Duc Thang,Ke toan - Kiem toan,Nu,18,Dai hoc,4,3,SPSS,2,3,Thieu tinh nang can thiet,4,3,4,5,5,Khong,0,4,4,Tich hop AI de goi y phan tich,11
SV0195,Sinh vien,DH Hue,Khoa hoc may tinh,Nam,20,Dai hoc,4,5,Excel,1,3,Khong co kho khan gi,5,4,5,4,3,Co the,5,3,2,Co ban bao cao tu dong,12
SV0044,Sinh vien,DH Hue,Y khoa,Nam,21,Dai hoc,2,3,Excel,3,3,Khong co tai lieu tieng Viet,5,5,5,3,3,Co the,5,4,3,Mien phi cho sinh vien,14
GV0077,Giang vien,DH Su pham HN,Ke toan - Kiem toan,Nam,30,TS,1,5,Excel,1,4,Khong duoc dao tao su dung,2,5,3,4,4,Co,0,4,5,Co ban bao cao tu dong,24
GV0033,Giang vien,DH Kinh te Quoc dan,Khoa hoc may tinh,Nam,55,ThS,25,3,Excel,4,4,Khong co tai lieu tieng Viet,2,5,3,4,5,Co the,0,2,5,Co huong dan su dung chi tiet,21
SV0120,Sinh vien,DH Ngoai thuong,Tai chinh - Ngan hang,Nu,24,Dai hoc,1,3,Khong su dung,3,1,Giao dien phuc tap,3,5,3,4,3,Co,15,4,4,Co giao dien tieng Viet,10
SV0219,Sinh vien,DH Hoa Sen,Ngu van,Nam,18,Dai hoc,5,2,SPSS,4,3,Chi phi ban quyen cao,3,4,3,5,4,Co,0,4,4,Mien phi cho sinh vien,16
SV0029,Sinh vien,DH Thuong mai,Cong nghe thong tin,Nam,24,Dai hoc,1,1,SPSS,4,3,Giao dien phuc tap,2,4,4,3,4,Co the,0,4,4,Co giao dien tieng Viet,20
GV0034,Giang vien,DH Bach khoa HN,Luat,Nu,41,TS,10,3,Excel,2,3,Thieu tinh nang can thiet,4,4,5,5,4,Co,20,4,3,Co giao dien tieng Viet,21
SV0072,Sinh vien,DH Ton Duc Thang,Marketing,Nu,19,Dai hoc,2,2,R,3,5,Khong co kho khan gi,4,3,4,3,4,Co,10,4,4,Tich hop AI de goi y phan tich,20
SV0016,Sinh vien,DH Thuong mai,Y khoa,Nu,23,Dai hoc,1,3,SPSS,3,4,Giao dien phuc tap,4,5,4,3,5,Co,5,5,1,Tich hop AI de goi y phan tich,20
GV0078,Giang vien,DH Ton Duc Thang,Ke toan - Kiem toan,Nam,40,PGS.TS,11,4,Stata,2,2,Khong co tai lieu tieng Viet,3,4,3,3,4,Co,15,4,3,Co huong dan su dung chi tiet,12
SV0178,Sinh vien,DH Da Nang,Ky thuat,Nam,24,Dai hoc,5,4,Khac,4,4,Giao dien phuc tap,3,4,3,5,3,Co,0,5,3,Co ban bao cao tu dong,17
SV0009,Sinh vien,DH Su pham HN,Ke toan - Kiem toan,Nam,21,Dai hoc,3,5,Excel,2,3,Chi phi ban quyen cao,3,2,1,4,4,Co,10,2,1,Co giao dien tieng Viet,21
SV0033,Sinh vien,DH Ton Duc Thang,Xa hoi hoc,Nu,18,Dai hoc,5,3,SPSS,2,3,Khong duoc dao tao su dung,5,4,4,4,5,Co,0,5,3,Ho tro nhieu dinh dang file,13
SV0086,Sinh vien,DH Thuong mai,Y khoa,Nu,20,Dai hoc,2,4,SPSS,5,3,Thieu tinh nang can thiet,5,3,4,4,2,Co,5,4,2,Ho tro nhieu dinh dang file,10
SV0052,Sinh vien,DH Ngoai thuong,Y khoa,Nu,18,Dai hoc,4,2,SPSS,2,4,Thieu tinh nang can thiet,4,5,5,2,3,Co,10,4,5,Co huong dan su dung chi tiet,18
SV0070,Sinh vien,DH Hoa Sen,Ke toan - Kiem toan,Nu,18,Dai hoc,3,3,SPSS,2,5,Khong co kho khan gi,4,2,4,2,4,Co,0,3,4,Co ban bao cao tu dong,18
GV0037,Giang vien,DH Da Nang,Xa hoi hoc,Nam,35,PGS.TS,5,4,SPSS,3,5,Khong duoc dao tao su dung,5,4,4,4,4,Co,10,4,2,Co ban bao cao tu dong,16
SV0162,Sinh vien,DH Da Nang,Y khoa,Nam,18,Dai hoc,4,2,SPSS,1,2,Chi phi ban quyen cao,4,1,4,4,3,Co,10,4,3,Mien phi cho sinh vien,20
SV0050,Sinh vien,DH Bach khoa HN,Tai chinh - Ngan hang,Nu,20,Dai hoc,5,3,R,3,4,Khong co kho khan gi,2,4,1,5,1,Co,0,5,3,Mien phi cho sinh vien,10
SV0185,Sinh vien,DH Bach khoa HN,Ngu van,Nu,22,Dai hoc,1,3,SPSS,5,3,Chi phi ban quyen cao,1,2,2,4,4,Khong,10,2,4,Tich hop AI de goi y phan tich,18
GV0055,Giang vien,DH Da Nang,Khoa hoc may tinh,Nu,48,ThS,18,5,Excel,3,2,Thieu tinh nang can thiet,4,4,4,3,4,Co the,0,2,4,Co huong dan su dung chi tiet,26
SV0035,Sinh vien,DH Thuong mai,Quan tri kinh doanh,Nu,19,Dai hoc,3,2,Excel,3,2,Chi phi ban quyen cao,5,4,4,3,5,Co,10,4,3,Mien phi cho sinh vien,13
